Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
38	8507693	8507693	8507693	8507693	8507693	8507693	8507693	1024
39	9498935	9498935	9498935	9498935	9498935	9498935	9498935	1024
40	10579388	10579388	10579388	10579388	10579388	10579388	10579388	1024
41	11757083	11757083	11757083	11757083	11757083	11757083	11757083	1024
42	13040770	13040770	13040770	13040770	13040770	13040770	13040770	1024
43	14439988	14439988	14439988	14439988	14439988	14439988	14439988	1024
44	15965137	15965137	15965137	15965137	15965137	15965137	15965137	1024
45	17627548	17627548	17627548	17627548	17627548	17627548	17627548	1024
46	19439577	19439577	19439577	19439577	19439577	19439577	19439577	1024
47	21414688	21414688	21414688	21414688	21414688	21414688	21414688	1024
48	23567559	23567559	23567559	23567559	23567559	23567559	23567559	1024
49	25914189	25914189	25914189	25914189	25914189	25914189	25914189	1024
50	28472016	28472016	28472016	28472016	28472016	28472016	28472016	1024
51	34101869	34101869	34101869	34101869	34101869	34101869	34101869	1024
52	37417091	37417091	37417091	37417091	37417091	37417091	37417091	1024
53	41030683	41030683	41030683	41030683	41030683	41030683	41030683	1024
54	44969499	44969499	44969499	44969499	44969499	44969499	44969499	1024
55	49262808	49262808	49262808	49262808	49262808	49262808	49262808	1024
56	53942514	53942514	53942514	53942514	53942514	53942514	53942514	1024
57	59043394	59043394	59043394	59043394	59043394	59043394	59043394	1024
58	64603353	64603353	64603353	64603353	64603353	64603353	64603353	1024
59	70663709	70663709	70663709	70663709	70663709	70663709	70663709	1024
60	77269497	77269497	77269497	77269497	77269497	77269497	77269497	1024
61	84469806	84469806	84469806	84469806	84469806	84469806	84469806	1024
62	92318142	92318142	92318142	92318142	92318142	92318142	92318142	1024
63	100872828	100872828	100872828	100872828	100872828	100872828	100872828	1024
64	110197437	110197437	110197437	110197437	110197437	110197437	110197437	1024
65	120361260	120361260	120361260	120361260	120361260	120361260	120361260	1024
66	131439828	131439828	131439828	131439828	131439828	131439828	131439828	1024
67	143515466	143515466	143515466	143515466	143515466	143515466	143515466	1024
68	156677911	156677911	156677911	156677911	156677911	156677911	156677911	1024
69	171024978	171024978	171024978	171024978	171024978	171024978	171024978	1024
70	186663279	186663279	186663279	186663279	186663279	186663279	186663279	976
71	220684781	220684781	220684781	220684781	220684781	220684781	220684781	928
72	240812969	240812969	240812969	240812969	240812969	240812969	240812969	880
73	262752695	262752695	262752695	262752695	262752695	262752695	262752695	832
74	286666996	286666996	286666996	286666996	286666996	286666996	286666996	784
75	312733584	312733584	312733584	312733584	312733584	312733584	312733584	736
76	341146165	341146165	341146165	341146165	341146165	341146165	341146165	688
77	372115878	372115878	372115878	372115878	372115878	372115878	372115878	640
78	405872865	405872865	405872865	405872865	405872865	405872865	405872865	592
79	442667982	442667982	442667982	442667982	442667982	442667982	442667982	544
80	482774658	482774658	482774658	482774658	482774658	482774658	482774658	496
81	526490936	526490936	526490936	526490936	526490936	526490936	526490936	448
82	574141679	574141679	574141679	574141679	574141679	574141679	574141679	400
83	626080988	626080988	626080988	626080988	626080988	626080988	626080988	352
84	682694835	682694835	682694835	682694835	682694835	682694835	682694835	304
85	744403929	744403929	744403929	744403929	744403929	744403929	744403929	256
86	811666841	811666841	811666841	811666841	811666841	811666841	811666841	192
87	884983414	884983414	884983414	884983414	884983414	884983414	884983414	144
88	964898480	964898480	964898480	964898480	964898480	964898480	964898480	108
89	1052005902	1052005902	1052005902	1052005902	1052005902	1052005902	1052005902	81
90	1146952992	1146952992	1146952992	1146952992	1146952992	1146952992	1146952992	61
91	1250445319	1250445319	1250445319	1250445319	1250445319	1250445319	1250445319	46
92	1363251956	1363251956	1363251956	1363251956	1363251956	1363251956	1363251956	35
93	1486211191	1486211191	1486211191	1486211191	1486211191	1486211191	1486211191	26
94	1620236756	1620236756	1620236756	1620236756	1620236756	1620236756	1620236756	20
95	1766324623	1766324623	1766324623	1766324623	1766324623	1766324623	1766324623	15
96	1925560397	1925560397	1925560397	1925560397	1925560397	1925560397	1925560397	11
97	2099127391	2099127391	2099127391	2099127391	2099127391	2099127391	2099127391	8
98	2288315415	2288315415	2288315415	2288315415	2288315415	2288315415	2288315415	6
99	2494530361	2494530361	2494530361	2494530361	2494530361	2494530361	2494530361	5
